NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
424480.0,5,113,1057361.99,204212.55000000002,1032661.99
424490.0,18,541,2352785.0,1994413.3299999998,2061894.0
424510.0,4,115,1009749.0,678160.09,1009749.0
424520.0,1,9,102200.0,0.0,102200.0
424590.0,3,3,50565.0,0.0,47950.0
424610.0,3,21,336714.0,316536.83,309507.0
424690.0,10,171,2116688.5,1179473.73,2069052.5
424710.0,1,5,68250.0,63650.29,68250.0
424720.0,8,153,1498394.0,415527.78,1454801.0
424810.0,3,37,226924.0,221140.45,226924.0
424820.0,6,22,108171.05,58987.8,105689.05
424910.0,5,69,877362.0,837643.62,688187.0
424920.0,3,27,125547.55,11406.5,123664.55
424930.0,8,110,844496.0,532765.77,764583.0
424950.0,1,1,9485.0,0.0,9485.0
424990.0,25,501,4720072.27,1565078.9599999997,4425533.27
425110.0,2,22,269908.0,0.0,269903.0
425120.0,65,350,3070331.5,1588708.1099999994,2913532.5
441110.0,78,5504,60685106.510000005,12929556.75,51076446.96
441120.0,79,398,4124014.68,1417761.6900000002,3390173.68
441210.0,4,43,387634.0,271423.23,387629.0
441222.0,15,109,933670.17,653273.0499999999,800613.17
441228.0,13,361,4260294.0,409580.54,3348761.0
441310.0,39,306,1600168.73,619336.5999999999,1546049.73
441320.0,14,543,5012901.0,349741.81000000006,4951042.0
442110.0,37,330,2894508.0,1749759.1400000004,2746032.0
442210.0,33,310,2741040.0,1368669.6400000001,2618366.0
442291.0,5,33,350913.0,244780.13,313974.0
442299.0,24,181,1561377.3,490602.97,1413375.3
443141.0,6,234,2154243.0,1939905.63,2153237.0
443142.0,23,194,1349542.02,228937.58000000002,1338419.02
444110.0,11,140,1143424.0,654099.97,1122495.0
444120.0,5,29,232323.0,184375.97,186673.0
444130.0,24,293,2117592.45,1312643.0799999998,2026028.45
444190.0,32,377,3856594.38,1766863.33,3694649.38
444210.0,8,80,779267.0,432322.35000000003,763754.0
444220.0,33,429,2729179.9199999995,1772778.4,2629327.53
445110.0,112,1732,8227521.569999999,4183733.11,7796067.569999999
445120.0,111,694,2505777.56,1106645.36,2313856.56
445210.0,14,167,824304.9,311751.19,767549.9
445220.0,1,6,15900.0,16042.88,8930.0
445230.0,2,42,170148.75,0.0,170145.75
445291.0,17,223,852585.28,76733.79000000001,835780.71
445292.0,8,153,558895.86,339703.08,493942.12
445299.0,28,332,1198349.7,821334.7500000002,1147993.71
445310.0,60,588,2996896.99,1554124.13,2824060.24
446110.0,32,642,5143417.95,2127570.659999999,4725288.95
446120.0,73,201,1249371.3499999999,355207.57000000007,1224653.3699999999
446130.0,27,247,1572047.1,422772.66000000003,1520167.7200000002
446191.0,13,130,807153.0,693639.8600000001,706813.0
446199.0,45,466,3639187.4499999997,2275006.400000001,3502954.2999999993
447110.0,86,563,2629612.0400000005,731261.3999999998,2480477.0800000005
447190.0,12,106,529072.25,255172.50999999998,501660.25
448110.0,27,98,680909.0,216110.15000000002,650762.5
448120.0,47,114,722128.7100000001,135098.12,705730.53
448130.0,4,23,123385.82,90606.58,121904.82
448140.0,30,152,1330150.5,108054.36,1151137.5
448150.0,35,83,428451.16000000003,86107.39,404404.47000000003
448190.0,43,204,1323295.7999999998,253924.11999999997,1184666.7999999998
448210.0,18,69,308302.5,133261.05,296191.5
448310.0,62,408,3924644.5,649865.94,3829067.19
448320.0,1,1,12650.0,0.0,12650.0
451110.0,52,402,2678194.83,1452571.37,2570446.83
451120.0,22,164,1323633.12,915960.2599999999,1299083.6
451130.0,9,27,150843.0,77326.6,139388.0
451140.0,14,73,445283.88,133768.94,445257.88
451211.0,12,58,273873.2,47736.990000000005,250133.13
451212.0,3,3,35529.0,0.0,35529.0
452210.0,3,4,46226.0,0.0,46223.0
452319.0,27,261,2090955.0,1772638.96,2019221.0
452990.0,3,34,164567.0,157352.15,164567.0
453110.0,38,269,1214701.0,601230.1600000003,1102058.0
453210.0,6,85,1027982.5700000001,496892.76,904922.5700000001
453220.0,37,254,1124948.86,189679.15000000002,1069947.86
453310.0,26,370,2220123.15,481761.55999999994,2151319.15
453910.0,21,76,340859.5,92728.15999999999,331477.5
453920.0,16,32,242169.53,57222.78,233634.68
453930.0,1,1,20645.0,0.0,20645.0
453991.0,25,183,960053.05,89232.26,952244.05
453998.0,348,2290,16032000.010000002,5457530.030000003,15182792.370000003
454110.0,34,158,1782405.69,756776.0000000001,1679319.89
454113.0,1,2,925.0,932.58,925.0
454210.0,16,64,472751.5,238792.40000000002,465711.5
454310.0,5,290,4629059.0,331522.08999999997,4604973.0
454390.0,100,268,2352789.19,723682.5700000001,2210614.74
481111.0,1,23,1168000.0,0.0,1168000.0
481112.0,2,8,85699.0,0.0,85698.0
481211.0,1,1,1089.38,0.0,1089.38
481219.0,5,14,172899.5,15157.81,172890.5
482111.0,1,10,153200.0,0.0,153200.0
483111.0,1,1,20833.0,0.0,20832.0
483114.0,3,90,86800.0,25981.64,71521.0
484110.0,189,2407,29214014.72,8967397.49,28247066.97
484121.0,113,471,4915287.129999999,992485.1899999998,4846124.129999999
484122.0,15,183,1976681.36,913784.5999999997,1952998.36
484210.0,20,201,1534697.9,1169404.24,1489149.9
484220.0,28,350,3911208.37,1184608.2499999998,3760215.37
