,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
636,541715, 15 , 291 ," 5,031,678 "," 769,695 ","Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",15%
821,813312, 12 , 291 ," 2,894,386 "," 967,107 ","Environment, Conservation and Wildlife Organizations",33%
19,112310, 1 , 291 ," 2,742,260 ", -   ,Chicken Egg Production,0%
480,454310, 5 , 290 ," 4,629,059 "," 331,522 ",Fuel Dealers,7%
152,323113, 43 , 286 ," 1,931,665 "," 493,310 ",Commercial Screen Printing,26%
346,423110, 35 , 285 ," 3,255,604 "," 1,305,110 ",Automobile and Other Motor Vehicle Merchant Wholesalers,40%
330,337910, 2 , 285 ," 332,909 "," 67,785 ",Mattress Manufacturing,20%
742,624229, 9 , 282 ," 2,462,884 "," 1,519,247 ",Other Community Housing Services,62%
378,423920, 8 , 281 ," 1,249,460 "," 27,331 ",Toy and Hobby Goods and Supplies Merchant Wholesalers,2%
313,336390, 4 , 280 ," 3,471,101 "," 342,175 ",Other Motor Vehicle Parts Manufacturing,10%
723,621511, 19 , 275 ," 3,095,063 "," 493,716 ",Medical Laboratories,16%
500,485320, 31 , 275 ," 1,134,472 "," 196,127 ",Limousine Service,17%
728,621999, 36 , 272 ," 2,712,125 "," 990,644 ",All Other Miscellaneous Ambulatory Health Care Services,37%
171,325612, 4 , 269 ," 2,163,007 "," 2,038,427 ",Polish and Other Sanitation Good Manufacturing,94%
467,453110, 38 , 269 ," 1,214,701 "," 601,230 ",Florists,49%
481,454390, 100 , 268 ," 2,352,789 "," 723,683 ",Other Direct Selling Establishments,31%
363,423510, 17 , 267 ," 3,122,340 "," 349,669 ",Metal Service Centers and Other Metal Merchant Wholesalers,11%
793,811211, 13 , 265 ," 2,205,343 "," 336,329 ",Consumer Electronics Repair and Maintenance,15%
466,452319, 27 , 261 ," 2,090,955 "," 1,772,639 ",All Other General Merchandise Stores,85%
469,453220, 37 , 254 ," 1,124,949 "," 189,679 ","Gift, Novelty, and Souvenir Stores",17%
807,812210, 41 , 253 ," 1,831,468 "," 1,229,954 ",Funeral Homes and Funeral Services,67%
627,541612, 29 , 250 ," 2,458,077 "," 1,138,538 ",Human Resources Consulting Services,46%
219,332410, 5 , 249 ," 4,455,742 "," 1,608,154 ",Power Boiler and Heat Exchanger Manufacturing,36%
608,541213, 63 , 249 ," 1,541,332 "," 408,536 ",Tax Preparation Services,27%
444,446130, 27 , 247 ," 1,572,047 "," 422,773 ",Optical Goods Stores,27%
689,562910, 10 , 239 ," 3,245,697 "," 2,332,802 ",Remediation Services,72%
60,237110, 28 , 236 ," 3,878,509 "," 1,765,366 ",Water and Sewer Line and Related Structures Construction,46%
425,443141, 6 , 234 ," 2,154,243 "," 1,939,906 ",Household Appliance Stores,90%
377,423910, 12 , 229 ," 2,578,351 "," 1,453,020 ",Sporting and Recreational Goods and Supplies Merchant Wholesalers,56%
174,325998, 6 , 229 ," 2,093,399 "," 1,473,600 ",All Other Miscellaneous Chemical Product and Preparation Manufacturing,70%
621,541490, 75 , 227 ," 2,437,125 "," 1,165,535 ",Other Specialized Design Services,48%
210,332119, 6 , 226 ," 2,904,413 "," 1,520,834 ","Metal Crown, Closure, and Other Metal Stamping (except Automotive)",52%
68,238130, 22 , 225 ," 2,130,424 "," 812,160 ",Framing Contractors,38%
438,445291, 17 , 223 ," 852,585 "," 76,734 ",Baked Goods Stores,9%
55,236116, 24 , 222 ," 1,650,632 "," 1,092,838 ",New Multifamily Housing Construction (except For-Sale Builders),66%
350,423210, 10 , 221 ," 3,020,842 "," 1,464,560 ",Furniture Merchant Wholesalers,48%
292,335122, 3 , 221 ," 2,234,197 "," 1,139,536 ","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",51%
715,621330, 93 , 220 ," 1,573,735 "," 547,046 ",Offices of Mental Health Practitioners (except Physicians),35%
759,712130, 3 , 218 ," 2,367,647 "," 1,116,175 ",Zoos and Botanical Gardens,47%
520,511110, 18 , 217 ," 1,503,921 "," 602,622 ",Newspaper Publishers,40%
727,621991, 1 , 212 ," 2,102,127 ", -   ,Blood and Organ Banks,0%
762,713120, 9 , 212 ," 1,458,496 "," 11,161 ",Amusement Arcades,1%
808,812220, 8 , 209 ," 2,086,473 "," 145,743 ",Cemeteries and Crematories,7%
791,811192, 24 , 208 ," 1,461,495 "," 505,033 ",Car Washes,35%
542,518210, 22 , 206 ," 2,879,996 "," 1,881,267 ","Data Processing, Hosting, and Related Services",65%
364,423610, 22 , 205 ," 2,389,157 "," 1,920,405 ","Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",80%
706,611691, 31 , 205 ," 790,743 "," 392,409 ",Exam Preparation and Tutoring,50%
672,561611, 22 , 204 ," 1,544,008 "," 656,275 ",Investigation Services,43%
454,448190, 43 , 204 ," 1,323,296 "," 253,924 ",Other Clothing Stores,19%
492,484210, 20 , 201 ," 1,534,698 "," 1,169,404 ",Used Household and Office Goods Moving,76%
443,446120, 73 , 201 ," 1,249,371 "," 355,208 ","Cosmetics, Beauty Supplies, and Perfume Stores",28%
620,541430, 108 , 198 ," 1,931,462 "," 403,047 ",Graphic Design Services,21%
426,443142, 23 , 194 ," 1,349,542 "," 228,938 ",Electronics Stores,17%
596,532283, 2 , 193 ," 2,156,700 "," 2,172,738 ",Home Health Equipment Rental,101%
135,315990, 24 , 192 ," 2,312,874 "," 1,930,990 ",Apparel Accessories and Other Apparel Manufacturing,83%
694,611210, 4 , 192 ," 1,273,953 "," 1,243,772 ",Junior Colleges,98%
